username,source,discovered_at
letstalkmenhealth,manual_seed,2026-04-08T16:46:34.245858+00:00
livewellmindfully,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mantherapy,manual_seed,2026-04-08T16:46:34.245858+00:00
mentalhealthamerica,manual_seed,2026-04-08T16:46:34.245858+00:00
mentalhealthawarness,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mentalhealthmatch,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mindcharity,manual_seed,2026-04-08T16:46:34.245858+00:00
mindful__living,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mindful__mamas,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mindfulmft,manual_seed,2026-04-08T16:46:34.245858+00:00
mindfulmoments_ig,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mindgrowthcollective,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mindmattersdaily,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mindsettherapy,aggregator_seed,2026-04-08T16:46:34.245858+00:00
mytherapistsays,aggregator_seed,2026-04-08T16:46:34.245858+00:00
nami_communicate,manual_seed,2026-04-08T16:46:34.245858+00:00
nedratawwab,manual_seed,2026-04-08T16:46:34.245858+00:00
projectsemicolon,manual_seed,2026-04-08T16:46:34.245858+00:00
psychologytoday,manual_seed,2026-04-08T16:46:34.245858+00:00
safeplaceformentalhealth,aggregator_seed,2026-04-08T16:46:34.245858+00:00
selfcaredepot,aggregator_seed,2026-04-08T16:46:34.245858+00:00
selfcareisforeveryone,manual_seed,2026-04-08T16:46:34.245858+00:00
sitwithwhit,manual_seed,2026-04-08T16:46:34.245858+00:00
talkspace,manual_seed,2026-04-08T16:46:34.245858+00:00
talkyourfeelings,aggregator_seed,2026-04-08T16:46:34.245858+00:00
the.happybroadcast,manual_seed,2026-04-08T16:46:34.245858+00:00
the.holistic.psychologist,manual_seed,2026-04-08T16:46:34.245858+00:00
theanxietyhealer,manual_seed,2026-04-08T16:46:34.245858+00:00
theblurtfoundation,manual_seed,2026-04-08T16:46:34.245858+00:00
thedepressionproject,manual_seed,2026-04-08T16:46:34.245858+00:00
thefriendlinessproject,aggregator_seed,2026-04-08T16:46:34.245858+00:00
thegoodquote,aggregator_seed,2026-04-08T16:46:34.245858+00:00
thementalhealthcoach,aggregator_seed,2026-04-08T16:46:34.245858+00:00
thementalhealthspot,aggregator_seed,2026-04-08T16:46:34.245858+00:00
theocdproject,manual_seed,2026-04-08T16:46:34.245858+00:00
therapyforwomen,aggregator_seed,2026-04-08T16:46:34.245858+00:00
therapyinsider,aggregator_seed,2026-04-08T16:46:34.245858+00:00
therapyjeff,manual_seed,2026-04-08T16:46:34.245858+00:00
therapynotebooks,aggregator_seed,2026-04-08T16:46:34.245858+00:00
thesadgirlsclub,aggregator_seed,2026-04-08T16:46:34.245858+00:00
tinybuddhaofficial,manual_seed,2026-04-08T16:46:34.245858+00:00
traumatherapyhub,aggregator_seed,2026-04-08T16:46:34.245858+00:00
weareallhuman,aggregator_seed,2026-04-08T16:46:34.245858+00:00
yourdiagnonsense,aggregator_seed,2026-04-08T16:46:34.245858+00:00
yung_pueblo,manual_seed,2026-04-08T16:46:34.245858+00:00
